,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Response 1,Response 2
Run,A:conv_filter,B:conv_kernel,C:conv_stride,D:pool_size,E:pool_stride,F:drop_value,G:dense_num,H:pool_momentum,J:conv_activation,K:pool_type,accuracy,loss
,,,,,,,,,,,percent,percent
1,10,10,10,7,3,0.3,325,0.825,Relu,Batch_Norm,,
2,10,10,7,3,3,0.3,100,0.95,Sigmoid,Average,,
3,38,10,1,7,1,0.3,775,0.95,Relu,Batch_Norm,,
4,10,8,8,10,3,0.5,100,0.7,Tanh,Average,,
5,80,2,1,4,1,0.5,1000,0.825,Sigmoid,Batch_Norm,,
6,10,8,8,2,1,0.1,1000,0.95,Sigmoid,Max,,
7,10,4,4,8,8,0.5,100,0.825,Relu,Max,,
8,66,5,5,8,1,0.3,1000,0.7,Relu,Average,,
9,80,7,7,7,1,0.3,100,0.95,Sigmoid,Max,,
10,10,2,2,9,3,0.1,1000,0.7,Sigmoid,Max,,
11,10,7,1,2,2,0.5,325,0.95,Relu,Average,,
12,10,6,1,4,1,0.1,1000,0.95,Tanh,Average,,
13,80,10,2,2,1,0.3,1000,0.95,Tanh,Max,,
14,10,10,1,10,10,0.5,100,0.7,Sigmoid,Max,,
15,80,9,3,4,3,0.1,1000,0.95,Relu,Average,,
16,80,4,4,10,1,0.5,100,0.95,Relu,Average,,
17,52,2,1,4,4,0.5,1000,0.95,Relu,Max,,
18,66,9,2,7,1,0.5,100,0.7,Relu,Max,,
19,24,9,1,10,3,0.1,550,0.7,Tanh,Max,,
20,80,5,5,10,1,0.5,1000,0.825,Relu,Max,,
21,10,10,9,6,1,0.3,775,0.7,Tanh,Max,,
22,80,10,1,6,1,0.5,325,0.7,Tanh,Average,,
23,10,7,1,6,1,0.1,100,0.7,Sigmoid,Batch_Norm,,
24,38,6,1,10,8,0.5,100,0.95,Tanh,Max,,
25,80,10,1,4,4,0.5,1000,0.95,Sigmoid,Average,,
26,24,4,4,7,2,0.3,550,0.825,Tanh,Batch_Norm,,
27,24,10,1,10,1,0.1,325,0.825,Sigmoid,Average,,
28,52,10,10,4,4,0.1,1000,0.7,Tanh,Average,,
29,80,6,1,10,9,0.1,775,0.825,Tanh,Batch_Norm,,
30,10,3,1,10,4,0.5,1000,0.7,Relu,Batch_Norm,,
31,66,10,8,3,1,0.1,325,0.95,Tanh,Batch_Norm,,
32,80,9,1,3,3,0.3,550,0.7,Relu,Batch_Norm,,
33,80,10,10,5,5,0.5,550,0.825,Sigmoid,Max,,
34,10,10,4,8,3,0.5,550,0.95,Sigmoid,Max,,
35,10,10,10,10,6,0.5,1000,0.95,Relu,Average,,
36,52,2,1,7,7,0.5,100,0.7,Sigmoid,Batch_Norm,,
37,66,2,1,2,1,0.1,100,0.95,Relu,Batch_Norm,,
38,80,2,1,10,8,0.1,550,0.825,Relu,Max,,
39,66,10,5,10,8,0.3,775,0.825,Sigmoid,Batch_Norm,,
40,80,3,3,2,1,0.1,775,0.7,Sigmoid,Average,,
41,80,7,6,6,6,0.5,1000,0.95,Relu,Batch_Norm,,
42,24,3,3,6,1,0.5,550,0.825,Sigmoid,Average,,
43,52,4,4,10,4,0.1,550,0.95,Sigmoid,Batch_Norm,,
44,80,10,1,10,10,0.1,1000,0.95,Sigmoid,Max,,
45,80,9,6,10,6,0.5,325,0.7,Sigmoid,Average,,
46,80,4,4,5,5,0.3,100,0.825,Tanh,Average,,
47,66,10,1,7,6,0.3,325,0.825,Tanh,Max,,
48,10,9,4,10,10,0.1,325,0.95,Relu,Batch_Norm,,
49,10,10,9,10,1,0.1,1000,0.95,Tanh,Batch_Norm,,
50,80,2,1,10,1,0.3,100,0.7,Sigmoid,Average,,
51,80,10,10,10,9,0.5,100,0.7,Tanh,Batch_Norm,,
52,38,10,7,10,10,0.1,1000,0.7,Relu,Max,,
53,38,7,1,8,6,0.3,100,0.7,Relu,Average,,
54,10,3,3,10,10,0.5,775,0.7,Tanh,Average,,
55,24,10,3,6,6,0.5,550,0.7,Tanh,Batch_Norm,,
56,10,2,1,10,8,0.1,100,0.95,Sigmoid,Average,,
57,10,10,1,10,1,0.3,100,0.95,Tanh,Batch_Norm,,
58,52,10,10,10,1,0.5,550,0.7,Sigmoid,Batch_Norm,,
59,10,7,7,4,4,0.1,550,0.7,Relu,Average,,
60,66,6,3,9,5,0.5,1000,0.7,Tanh,Max,,
61,80,10,4,10,2,0.1,100,0.825,Relu,Batch_Norm,,
62,66,10,10,10,9,0.3,100,0.95,Relu,Max,,
63,52,10,4,2,1,0.5,100,0.825,Sigmoid,Batch_Norm,,
64,52,3,3,3,3,0.1,1000,0.825,Relu,Batch_Norm,,
65,10,2,1,2,2,0.5,100,0.7,Tanh,Max,,
66,80,7,2,10,1,0.3,1000,0.95,Sigmoid,Average,,
67,10,10,1,10,1,0.5,1000,0.7,Relu,Average,,
68,52,10,8,2,1,0.5,1000,0.825,Relu,Average,,
69,10,8,8,4,4,0.5,1000,0.7,Sigmoid,Batch_Norm,,
70,66,5,1,2,1,0.1,1000,0.7,Relu,Max,,
71,52,5,1,3,3,0.1,325,0.825,Sigmoid,Max,,
72,80,9,1,10,10,0.5,1000,0.825,Relu,Average,,
73,10,2,1,6,6,0.5,1000,0.95,Sigmoid,Batch_Norm,,
74,10,8,8,9,9,0.1,1000,0.95,Tanh,Max,,
75,66,10,6,10,7,0.3,775,0.95,Tanh,Average,,
76,52,5,1,7,7,0.3,550,0.95,Relu,Average,,
77,80,10,10,2,1,0.1,100,0.7,Relu,Max,,
78,80,8,8,8,8,0.1,100,0.825,Sigmoid,Average,,
79,10,7,2,9,9,0.3,1000,0.825,Sigmoid,Average,,
80,52,10,1,4,1,0.3,1000,0.7,Sigmoid,Max,,
81,10,5,2,10,1,0.1,550,0.95,Relu,Max,,
82,80,2,2,9,1,0.1,775,0.95,Tanh,Max,,
83,24,9,8,10,2,0.1,100,0.825,Tanh,Average,,
84,24,7,7,2,1,0.5,100,0.95,Tanh,Max,,
85,80,10,5,10,10,0.1,100,0.7,Tanh,Max,,
86,10,10,1,4,4,0.1,100,0.825,Relu,Max,,
87,80,7,1,5,2,0.5,325,0.95,Tanh,Batch_Norm,,
88,24,10,9,10,5,0.1,100,0.7,Sigmoid,Max,,
89,38,7,7,9,9,0.3,100,0.825,Tanh,Batch_Norm,,
90,66,3,3,10,10,0.5,1000,0.95,Sigmoid,Max,,
